Antikka-tuotteet-10.12.2020
y_id;t_id;YNimi;tila;Nimi;Tekija;tr_id;Kustantaja;ISBN;vnimi;hylly;sidonta;kunto;painovuosi;painos;hinta;maara;YNimi1;valuuttakoodi;kieli;ptr_id;sivum;suositus;pvm;tuoteryhma;kuvatieto;sarjan_nimi;sarja;muuta;
1077;843298;Bookman;True;Juhansonin matkat;Talve Ilmar;38;Karisto;;;306;Sidottu kansipaperi;K3;1961;1.;5,0000;1;Bookman;EUR;suomi;1;386;False;7.12.2020 15.24.50;Sotaromaanit;1155/1155_Juhansonin_matkat_2018119145326.jpg;;;;
1077;843299;Bookman;True;Klaani;Kaukonen Tauno;3;Weilin+Göös;;;306;Nidottu;K3-;1963;;5,0000;1;Bookman;EUR;suomi;1;397;False;7.12.2020 15.24.50;Dekkarit (kotimaiset);1155/1155_Klaani_2018119145648.jpg;;;Hieman kulumaa ja likaa sekä vino selkä.;
1077;843300;Bookman;True;Kalamiehen niksikirja;Jahnukainen Jyrki - Rinne Veikko;27;WSOY;;;311;Sidottu, kuvakansi;K3;1984;1;6,0000;2;Bookman;EUR;suomi;1;216;False;7.12.2020 15.24.50;Metsästys, kalastus ja eräkirjat;1155/1155_Kalamiehen_niksikirja_20181191563.jpg;;;;
1077;843301;Bookman;True;Corporate Religion -  Building a Strong Company Through Personality and Corporate Soul;Kunde Jesper;77;Prentice Hall;0-273-64380-0;;311;Sidottu kansipaperi;K3;2000;1;6,0000;1;Bookman;EUR;englanti;1;288;False;7.12.2020 15.24.50;Yhteiskunta, politiikka, sosiaaliala;1155/1155_Corporate_religion_201811915921.jpg;;;;
1077;843302;Bookman;True;Kiinalainen horoskooppi;Fantoni Barry;33;Karisto;;;906;Sidottu, kuvakansi;K3;1991;3;5,0000;2;Bookman;EUR;suomi;1;275;False;7.12.2020 15.24.50;Rajatieto ja mystiikka;1155/1155_Kiinalainen_horoskooppi_201811915422.jpg;;;                                                ;
1077;843303;Bookman;True;Nova et vetera - Studia in honorem Martti Parvio;Rimpiläinen Olavi (toim.);46;Societas Historiae Ecclesiasticae Fennica;951-9021-23-X;;311;Nidottu;K3;1978;1;5,0000;1;Bookman;EUR;suomi, latina;1;509;False;7.12.2020 15.24.50;Uskonto;1155/1155_Nova_et_vetera_2018119155113.jpg;;;Suomen kirkkohistoriallisen seuran toimituksia 105.;
1077;843304;Bookman;True;A la Mode - Muodin ja pukeutumisen sanakirja ;Lindfors Vuokko - Paimela Sirkka-Liisa ;82;Otava;951-1-18772-4;;245;Sidottu, kuvakansi;K3;2004;1;11,0000;1;Bookman;EUR;suomi;1;246;False;7.12.2020 15.24.50;Käytös, seurustelu ja tavat;1155/1155_mode_20181201351.jpg;;;;
1077;843305;Bookman;True;Hemslöjd - Den svenska hemslöjden fram till 1800-talets slut;Nylen Anna-Maja;21;Cordia;91-7085-154-9;;245;Sidottu kansipaperi;K3;1995;1;12,0000;1;Bookman;EUR;ruotsi;1;424;False;7.12.2020 15.24.50;Käsityöt ja askartelu;1155/1155_hem_2018120131456.jpg;;;;
1077;843306;Bookman;True;Suomalainen muoto = Form Finland = Form Finnland;Aav Marianne - Kalin Kaj;41;Taideteollisuusmuseo;951-95807-5-1;;246;Nidottu;K3;1986;1;10,0000;1;Bookman;EUR;suomi, englanti, saksa;1;107;False;7.12.2020 15.24.50;Taide, design, matot ja ryijyt;1155/1155_muoto_2018120132416.jpg;;;;
1077;843307;Bookman;True;Catamaraner och andra flerskrovsbåtar;Sass Heinz-Jurgen;26;Bonniers;;;599;Nidottu;K3;1970;1;8,0000;1;Bookman;EUR;ruotsi;1;142;False;7.12.2020 15.24.50;Meri, merenkulku ja veneily;1155/1155_catamaraner_2018120141452.jpg;;;takakannessa jäämiä vanhasta hintalapusta;
