category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Tietokirjallisuus->Antiikki,Antiikki,"Ab urbe condita XXI-XXII ","Kathagon Hannibal lähtee sotaan 2. p. / Karthagon Hannibal Rooman porteilla 1. p. / Karthagon Hannibal Campaniassa 1. p.","Ab urbe condita.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Titus Livius",,"Basam Books",,,2015-2018,200+244+228,"Sidottu kansipaperein",Suomi,"Uutta vastaava",,,,50,,published,yes,1,,no,833627,instock,simple,yes,Tietokirjallisuus->Antiikki,7,
Tietokirjallisuus->Antiikki,Antiikki,"Ab urbe condita XXIII - Karthagon Hannibal Campaniassa",,"Karthagon Hannibal Campaniassa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Titus Livius",,"Basam Books",,"1. p",2018,228,"Sidottu kansipaperein",Suomi,"Uutta vastaava",,,,22,,published,yes,1,,no,833628,instock,simple,yes,Tietokirjallisuus->Antiikki,7,
Tietokirjallisuus->Antiikki,Antiikki,"Ab urbe condita XXII - Karthagon Hannibal Rooman porteilla",,"Kathagon Hannibal Rooman porteilla.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Titus Livius",,"Basam Books",,"1. p",2015,244,"Sidottu kansipaperein",Suomi,"Uutta vastaava",,,,20,,published,yes,1,,no,833629,instock,simple,yes,Tietokirjallisuus->Antiikki,7,
Tietokirjallisuus->Antiikki,Antiikki,"Ab urbe condita XXI - Karthagon Hannibal lähtee sotaan",,"Karthagon Hannibal lähtee sotaan.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Titus Livius",,"Basam Books",,"2. p",2015,200,"Sidottu kansipaperein",Suomi,"Uutta vastaava",,,,20,,published,yes,1,,no,833630,instock,simple,yes,Tietokirjallisuus->Antiikki,7,
Tietokirjallisuus->Antiikki,Antiikki,"Kaksi tragediaa: Faidra & Oidipus",,"Kaksi tragediaa faidra oidipus.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Lucius Annaeus Seneca",,"Basam Books",,"1. p",2016,186,"Sidottu kansipaperein",Suomi,"Uutta vastaava",,,,22,,published,yes,1,,no,833631,instock,simple,yes,Tietokirjallisuus->Antiikki,7,
Tietokirjallisuus->Antiikki,Antiikki,"Africa - Laulu sankaruudetsa ja ihmisyydestä",,Africa.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Francesko Petrarca",,"Basam Books",,"1. p",2019,447,"Sidottu kuvakannella",Suomi,"Uutta vastaava",,,,22,,published,yes,1,,no,833632,instock,simple,yes,Tietokirjallisuus->Antiikki,7,
Tietokirjallisuus->Filosofia,Filosofia,Voltaire,,"Seitsemän filosofista tarinaa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Seitsemän filosofista tarinaa",,"Basam Books",,"1. p",2018,104,"Sidottu kuvakannella",Suomi,"Uutta vastaava",,,,16,,published,yes,1,,no,833633,instock,simple,yes,Tietokirjallisuus->Filosofia,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Levottomuuden kirja",,"Levottomuuden kirja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Fernando Pessoa",,"Basam Books",,"2. p",2018,496,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,20,,published,yes,1,,no,833634,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Tietokirjallisuus->Antiikki,Antiikki,Itselleni,,itselleni.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Marcus Aurelius",,"Basam Books",,"7. p",2019,314,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,20,,published,yes,1,,no,833635,instock,simple,yes,Tietokirjallisuus->Antiikki,7,
Tietokirjallisuus->Filosofia,Filosofia,"Johdatus taolaisuuteen",,"Johdatus taolaisuuteen.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Livia Kohn",,"Basam Books",,"1. p",2014,494,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,17,,published,yes,1,,no,833636,instock,simple,yes,Tietokirjallisuus->Filosofia,7,
Tietokirjallisuus->Filosofia,Filosofia,"Noudan vettä ja kerään polttopuita - Maallikko Pangin opetukset",,"Noudan vettä ja kerään polttopuita.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Maallikko Pang",,"Basam Books",,"1. p",2018,119,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,15,,published,yes,1,,no,833637,instock,simple,yes,Tietokirjallisuus->Filosofia,7,
Tietokirjallisuus->Filosofia,Filosofia,"Yhtä tyhjän kanssa",,"Yhtä tyhjän kanssa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Sawaki Kodo",,"Basam Books",,"1. p",2016,237,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,15,,published,yes,1,,no,833638,instock,simple,yes,Tietokirjallisuus->Filosofia,7,
