category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Kaunokirjallisuus->Dekkarit,Dekkarit,"Tuomari Dee ja varjostimen arvoitus","Nimilehdelle kirjoitettu ""Perhe Dee."" Arvosteltavaksi -leima","Tuomari Dee ja varjostimen arvoitus.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Robert van Gulik",SAPO,WSOY,,"1. p",1998,192,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833365,instock,simple,yes,Kaunokirjallisuus->Dekkarit,7,
Kaunokirjallisuus->Dekkarit,Dekkarit,"Viisi suotuisaa pilveä","Nimilehdelle kirjoitettu ""Perhe Dee."" ","Viisi suotuisaa pilveä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Robert van Gulik",SAPO,WSOY,,"1. p",1998,226,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833366,instock,simple,yes,Kaunokirjallisuus->Dekkarit,7,
"Tietokirjallisuus->Kansanperinne ja -runous","Kansanperinne ja -runous","Suomalaisten muinaisusko",,"Suomalaisten muinaisusko.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Uno Harva",,SKS,,"4. p",2019,531,"Sidottu kuvakannella",Suomi,"Uutta vastaava",,,,27,,published,yes,1,,no,833367,instock,simple,yes,"Tietokirjallisuus->Kansanperinne ja -runous",7,
"Tietokirjallisuus->Suomi 1918","Suomi 1918","Kapina tehtailla - Kuusankoski 1918",,"kapina tehtailla.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Seppo Aalto",,Siltala,,"5. p",2019,359,"Sidottu kuvakannella",Suomi,"Uutta vastaava",,,,20,,published,yes,1,,no,833368,instock,simple,yes,"Tietokirjallisuus->Suomi 1918",7,
Kaunokirjallisuus->Romaanit,Romaanit,"Huckleberry Finnin seikkailut","Uusi käännös!","Huckleberry Finnin seikkailut.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Mark Twain",,Siltala,,"1. p",2018,374,"Sidottu kuvakannella",Suomi,"Uutta vastaava",,,,17,,published,yes,1,,no,833369,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Tietokirjallisuus->Sotahistoria,Sotahistoria,"Musta maa - Holokausti: tapahtumat, opetukset",,"Musta maa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Timothy Snyder",,Siltala,,"2. p",2017,442,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,15,,published,yes,1,,no,833370,instock,simple,yes,Tietokirjallisuus->Sotahistoria,7,
Tietokirjallisuus->Historia,Historia,"Pohjolan Leijona - Kustaa II Aadolf ja Suomi 1611-1632",,"Pohjolan leijona.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Mirkka Lappalainen",,Siltala,,"5. p",2017,309,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,15,,published,yes,1,,no,833371,instock,simple,yes,Tietokirjallisuus->Historia,7,
Tietokirjallisuus->Historia,Historia,"Suomen ainoa sarjamurhaaja - Juhani Adaminpojan rikos ja rangaistus",,"Suomen ainoa sarjamurhaaja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Teemu Keskisarja",,Siltala,,"3. p",2018,251,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,15,,published,yes,1,,no,833372,instock,simple,yes,Tietokirjallisuus->Historia,7,
Tietokirjallisuus->Historia,Historia,"Kyynelten kallio - Kertomuksia seksistä ja väkivallasta",,"Kyynelten kallio.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Teemu Keskisarja",,Siltala,,"3. p",2017,396,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,15,,published,yes,1,,no,833373,instock,simple,yes,Tietokirjallisuus->Historia,7,
Tietokirjallisuus->Historia,Historia,"Tolvajärven jälkeen - Suurtaistelun ihmisten historia",,"Tolvajärven jälkeen.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Teemu Keskisarja",,Siltala,,"2. p",2018,303,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,15,,published,yes,1,,no,833374,instock,simple,yes,Tietokirjallisuus->Historia,7,
Tietokirjallisuus->Historia,Historia,"Vääpeli T:n tapaus",,"Vääpeli tn tapaus.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Teemu Keskisarja",,Siltala,,"3. p",2018,294,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,12,,published,yes,1,,no,833375,instock,simple,yes,Tietokirjallisuus->Historia,7,
