category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Kaunokirjallisuus->Fantasia,Fantasia,"Ystävän ääni - Tarina rajan tältä ja tuolta puolen","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Ystävän ääni.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Kari Rannanpää",,WSOY,,"1. p",1926,221,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833495,instock,simple,yes,Kaunokirjallisuus->Fantasia,7,
"Harrastekirjallisuus->Muoti ja sisustus","Muoti ja sisustus","Vaatetus-alan ammattipiirustus - Työkirja / Vaatetusalan ammattipiirustus - Opettejan kirja / Vaatetustekniikka - Tekstiilioppi: Työkirjan vastaukset","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Vaatetusalan ammattipiirustus työkirja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Kirsti Häkkinen (ym.)",,WSOY,,"1. p",1980,187+54+90,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,45,,published,yes,1,,no,833496,instock,simple,yes,"Harrastekirjallisuus->Muoti ja sisustus",7,"Vaatetustekniikki tekstiilioppi.jpg|Vaatetusalan ammattipiirustus opettajan.jpg"
"Tietokirjallisuus->Lääketiede ja terveys","Lääketiede ja terveys","Syövän biologia","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Syövän biologia.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Kari Alitalo (ym.)",,WSOY,,"1. p",1985,427,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,18,,published,yes,1,,no,833497,instock,simple,yes,"Tietokirjallisuus->Lääketiede ja terveys",7,
Tietokirjallisuus->Uskontotiede,Uskontotiede,"Martti Luther - Valitut teokset 1-3","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Valitut teokset I-III.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Martti Luther",,WSOY,,"2. p",1983,582+650+668,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,30,,published,yes,1,,no,833498,instock,simple,yes,Tietokirjallisuus->Uskontotiede,7,
Tietokirjallisuus->Meri,Meri,"Haru, eräs saari ","[Kansipaperia korjattu kannen vasemmasta ylänurkasta läpinäkyvällä pienellä teipinpalasella, kansipaperissa kaksi pientä repeämää selän puolella.] Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Haru, eräs saari.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Tove Jansson / Tuulikki Pietilä",,WSOY,,"1. p",1996,102,"Sidottu kansipaperein",Suomi,"Kulunut käytetty",,,,50,,published,yes,1,,no,833499,instock,simple,yes,Tietokirjallisuus->Meri,7,
Tietokirjallisuus->Kasvitiede,Kasvitiede,"Lexicon forestale - Metsäsanakirja","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Lexicon forestale.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Paavo Aro (ym.)",,WSOY,,"1. p",1979,,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,30,,published,yes,1,,no,833500,instock,simple,yes,Tietokirjallisuus->Kasvitiede,7,
"Harrastekirjallisuus->Maa- ja metsätalous","Maa- ja metsätalous","Suomen maatilat III - Turun ja Porin lääni, Ahvenanmaa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Suomen maatilat III.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"U. Brander (ym.)",,WSOY,,"1. p",1932,1978+hakemisto,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,40,,published,yes,1,,no,833501,instock,simple,yes,"Harrastekirjallisuus->Maa- ja metsätalous",7,
"Harrastekirjallisuus->Maa- ja metsätalous","Maa- ja metsätalous","Suomen maatilat - Kuopion lääni","[Alkuperäisessä kansiossaan. Ns. ""Pieni osa."" ]Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Suomen maatilat Kuopion lääni.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"U. Brander (ym.)",,WSOY,,"1. p",1932,575+hakemisto,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,50,,published,yes,1,,no,833502,instock,simple,yes,"Harrastekirjallisuus->Maa- ja metsätalous",7,
"Harrastekirjallisuus->Maa- ja metsätalous","Maa- ja metsätalous","Suomen maatilat - Mikkelin lääni","[Alkuperäisessä kansiossaan. Ns. ""Pieni osa."" ]Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Suomen maatilat Mikkelin lääni.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"U. Brander (ym.)",,WSOY,,"1. p",1932,302+hakemisto,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,50,,published,yes,1,,no,833503,instock,simple,yes,"Harrastekirjallisuus->Maa- ja metsätalous",7,
"Harrastekirjallisuus->Maa- ja metsätalous","Maa- ja metsätalous","Suomen maatilat - Viipurin lääni","[Alkuperäisessä kansiossaan. Ns. ""Pieni osa."" ]Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Suomen maatilat Viipurin lääni.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"U. Brander (ym.)",,WSOY,,"1. p",1932,434+hakemisto,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,50,,published,yes,1,,no,833504,instock,simple,yes,"Harrastekirjallisuus->Maa- ja metsätalous",7,
