category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Harrastekirjallisuus->Shakki,Shakki,"Shakki - Pelien kuningas","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",Shakki.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"F. Gutmayer",,WSOY,,"1. p",1916,232,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833355,instock,simple,yes,Harrastekirjallisuus->Shakki,7,
Tietokirjallisuus->Kasvitiede,Kasvitiede,"Luettelo Suomen putkilokasveista","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Luettelo Suomen putkilokasveista.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Martin Hagfors",,WSOY,,"1. p",1924,126,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833356,instock,simple,yes,Tietokirjallisuus->Kasvitiede,7,
"Harrastekirjallisuus->Maa- ja metsätalous","Maa- ja metsätalous","Maidon, kerman ja voin kestäväisyys","[Kannesta puuttu kuvan mukainen pala. Muuten kunto normaali.] Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Maidon, kerman ja voin säilyväisyys.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Martin Hagfors",,"G.W. Edlund",,"1. p",1897,252,"Nidottu kuvakannella",Suomi,"Kulunut käytetty",,,,10,,published,yes,1,,no,833357,instock,simple,yes,"Harrastekirjallisuus->Maa- ja metsätalous",7,
Tietokirjallisuus->Venäjä,Venäjä,"Työmiehenä Venäjällä - Mitä suomalainen työmies siellä näki","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Työmiehenä Venäjällä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"John Hamlin",,WSOY,,"2. p",1934,94,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,30,,published,yes,1,,no,833358,instock,simple,yes,Tietokirjallisuus->Venäjä,7,
Tietokirjallisuus->Venäjä,Venäjä,"Venäjän arvoitus","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Venäjän arvoitus.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Rütger Essen",,WSOY,,"1. p",1941,247,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833359,instock,simple,yes,Tietokirjallisuus->Venäjä,7,
"Tietokirjallisuus->Kansanperinne ja -runous","Kansanperinne ja -runous","Sananparsia - Etelä-Karjala","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Etelä-karjalan sananparsia.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Viipurilainen Osakunta",,WSOY,,"1. p",1941,171,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833360,instock,simple,yes,"Tietokirjallisuus->Kansanperinne ja -runous",7,
"Harrastekirjallisuus->Maa- ja metsätalous","Maa- ja metsätalous","Pyöreän tavaran kuutioimiskirja","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Pyöreän tavaran kuutioimiskirja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"F.W. Eriksson",,WSOY,,"2. p",1949,8,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833361,instock,simple,yes,"Harrastekirjallisuus->Maa- ja metsätalous",7,
"Harrastekirjallisuus->Maa- ja metsätalous","Maa- ja metsätalous","Lypsykarjan hoito / Kotieläinten hoito sairaassa tilassa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Lypsykarjan hoito.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Hallenborg / Regner",,WSOY,,"1. p",1898,65+58,Jälkisidos,Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833362,instock,simple,yes,"Harrastekirjallisuus->Maa- ja metsätalous",7,
"Tietokirjallisuus->Kielet ja kielitiede","Kielet ja kielitiede","Kodin sanasto - Svensk-finsk ordbok för hemmet","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Kodin Sanasto.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Hallsten ja Lilius",,WSOY,,"1. p",1896,159,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833363,instock,simple,yes,"Tietokirjallisuus->Kielet ja kielitiede",7,
Harrastekirjallisuus->Käsityöt,Käsityöt,"Tyttöjen käsityöt","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Tyttöjen käsityöt.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Eeva Haavisto",,WSOY,,"1. p",1945,229,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833364,instock,simple,yes,Harrastekirjallisuus->Käsityöt,7,
