category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Kaunokirjallisuus->Romaanit,Romaanit,"Lahjakas tytär","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Lahjakas tytär.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Katri Ingman",,WSOY,,"2. p",1928,184,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833217,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Ursula Keivaara - Siipeen satutettu","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","siipeen satutettu.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Elsa Hästesko-Heporauta",,WSOY,,"1. p",1929,485,"Nidottu kuvakannella",Suomi,"Kulunut käytetty",,,,12,,published,yes,1,,no,833218,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Mutta muuten meillä oli hauskaa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","mutta muuten meillä oli hauskaa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Sigrid Boo",,WSOY,,"1. p",1939,241,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833219,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Jääkärien jäljillä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","jääkärien jäljillä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Jalmari Kara",,WSOY,,"1. p",1919,141,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833220,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,Korpiherra,"Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.",korpiherra.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Urho karhumäki",,WSOY,,"1. p",1932,412,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833221,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Kiveliön karkurit","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","kiveliön karkurit.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Kaarlo Hänninen",,WSOY,,"1. p",1923,184,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833222,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Kauppiaiden Lapset","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","kauppiaiden lapset.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Toivo pekkanen",,WSOY,,"1. p",1934,368,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833223,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Kivirannan pientila","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","kivirannan pientila.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"K. Kaslin",,WSOY,,"1. p",1923,117,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833224,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Talvikausi kansanopistossa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","talvikausi kansanopistossa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Matti Pentinsaari",,WSOY,,"1. p",1896,53,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833225,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Härkmannin pojat","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","härkmannin pojat.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,Aura,,WSOY,,"3. p",1926,400,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833226,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,Akilles,"Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.",akilles.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"K. A. Järvi",,WSOY,,"1. p",1905,128,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833227,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,Sinä,"Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.",sinä.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Elsa Hästesko-Heporauta",,WSOY,,"1. p",1930,104,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833228,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Onni Kalpa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","onni kalpa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Jarl Hemmer",,WSOY,,"1. p",1921,187,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833229,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Suuri yö","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","suuri yö.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Elsa Heporauta",,WSOY,,"1. p",1933,336,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833230,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
