category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Harrastekirjallisuus->Taide,Taide,"Aineen olemuksesta materian muuntumiin",,"Aineen olemuksesta materian.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Timo Heino",,Kuvataideakatemia,,"1. p",2016,252,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833382,instock,simple,yes,Harrastekirjallisuus->Taide,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Haarautuvien polkujen puutarha",,"Haarautuvien polkujen puutarha.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Jorge Luis borges",,WSOY,,"2. p",1993,258,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833383,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Tietokirjallisuus->Uskontotiede,Uskontotiede,"Kultainen Jerusalem - Jerusalemin idea juutalaisuudessa, kristinuskossa ja islamissa",,"Kultainen jerusalem.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Munkki Serafim",,Kirjapaja,,"1. p",2008,572,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,35,,published,yes,1,,no,833384,instock,simple,yes,Tietokirjallisuus->Uskontotiede,7,
Tietokirjallisuus->Elämäkerrat,Elämäkerrat,"Ilu - Ilkka Heiskanen esittää",,Ilu.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Liisa Talvitie",,Docendo,,"1. p",2018,196,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,14,,published,yes,1,,no,833385,instock,simple,yes,Tietokirjallisuus->Elämäkerrat,7,
Tietokirjallisuus->Antiikki,Antiikki,"Antiikin myytit / Homeros - Troijan sota ja Odysseuksen harharetket / Uusi antiikin historia / Antiikin käsikirja","Castrenin ""valitut teokset."" Painokset 1. - 4.p.",castren.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Paavo Castrén",,Otava,,,2015-2018,424+553+639+641,"Sidottu kuvakannella",Suomi,"Uutta vastaava",,,,70,,published,yes,1,,no,833386,instock,simple,yes,Tietokirjallisuus->Antiikki,7,
Tietokirjallisuus->Elämäkerrat,Elämäkerrat,"Takaisin valoon",,"Takaisin valoon.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Marissa Jaakola / Ari Väntänen",,LIKE,,"1. p",2018,234,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,14,,published,yes,1,,no,833387,instock,simple,yes,Tietokirjallisuus->Elämäkerrat,7,
Kaunokirjallisuus->Fantasia,Fantasia,"Narrin matka / Narrin palvelija / Narrin kohtalo - Lordi Kultainen 1-3","1 osa = 2. p. / 2 osa = 1. p / 3 osa = 1. p.","Lordi kultainen.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Robin Hobb",,Otava,,,2003-2005,718+759+848,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,150,,published,yes,1,,no,833388,instock,simple,yes,Kaunokirjallisuus->Fantasia,7,
"Tietokirjallisuus->Suomen historia","Suomen historia","Vettä!  Suomen vesihuollon kehitys kaupungeissa ja maaseudulla","Tyhjällä esilehdellä omiste",Vettä.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Tapio S. Katko",,"Vesi- ja viemärilaitosyhdistys",,"1. p",1996,416,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833389,instock,simple,yes,"Tietokirjallisuus->Suomen historia",7,
Tietokirjallisuus->Meri,Meri,"Ääressä - Elämää Kökarissa",,ääressä.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Katarina Gäddnäs / Gabriella Nordlund",,Schildts,,"1. p",2005,237,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,18,,published,yes,1,,no,833390,instock,simple,yes,Tietokirjallisuus->Meri,7,
"Tietokirjallisuus->Suomen historia","Suomen historia","Aavetaloja ja ihmiskohtaloita 1-2","2.-1. painos.","Aavetaloja ja ihmiskohtaloita.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Mauri Karvonen",,Nemo,,,2016-2018,288+336,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,25,,published,yes,1,,no,833391,instock,simple,yes,"Tietokirjallisuus->Suomen historia",7,
