category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
"Tietokirjallisuus->Suomi 1918","Suomi 1918","Sotanäyttämön kulissiniehenä - Huomioita ja muistelmia Karjalasta vuodelta 1918","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Sotanäyttämön kulissimiehenä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Antti Eräs",,WSOY,,"1. p",1933,121,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833177,instock,simple,yes,"Tietokirjallisuus->Suomi 1918",7,
Tietokirjallisuus->Tekniikka,Tekniikka,"Suuntapainetuuletus - Palokuntien ""ilma-ase""","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.",Suuntapainetuuletus.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Leo Pesonen",,WSOY,,"1. p",1946,92,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833178,instock,simple,yes,Tietokirjallisuus->Tekniikka,7,
"Harrastekirjallisuus->Ruoka ja gastronomia","Ruoka ja gastronomia","Kalliin ajan ruokatalousohjeita","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Kalliin ajan ruokatalousohjeita.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Ingrid Graae",,WSOY,,"1. p",1916,22,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833179,instock,simple,yes,"Harrastekirjallisuus->Ruoka ja gastronomia",7,
Tietokirjallisuus->Tekniikka,Tekniikka,"Tulen sammutusopas","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.",Tulensammutusopas.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Leo Pesonen",,WSOY,,"1. p",1944,63,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833180,instock,simple,yes,Tietokirjallisuus->Tekniikka,7,
Tietokirjallisuus->Biologia,Biologia,"Uusi anatominen nimistö","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Uusi anatominen nimistö.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Niilo Pesonen",,WSOY,,"1. p",1948,127,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833181,instock,simple,yes,Tietokirjallisuus->Biologia,7,
"Harrastekirjallisuus->Teatteri ja näytelmät","Teatteri ja näytelmät","Tahtoisin tulla filmitähdeksi ynnä muita koululaisnäytelmiä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Tahtoisin tulla filmitähdeksi.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,Olli,,WSOY,,"1. p",1926,32,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833182,instock,simple,yes,"Harrastekirjallisuus->Teatteri ja näytelmät",7,
Tietokirjallisuus->Meri,Meri,"Onnettomuus ja onni - Kauppalaivojen haaksirikot ja pelastustoiminta Itämerellä 1600-1800-luvuilla",,"Onnettomuus ja onni.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Mikko Huhtamies / Juha-Matti Granqvist",,SKS,,"1. p",2018,264,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,20,,published,yes,1,,no,833184,instock,simple,yes,Tietokirjallisuus->Meri,7,
Tietokirjallisuus->Historia,Historia,"Reunamailla - Tilattomat Länsi-Suomen maaseudulla 1600-1800",,Reunamailla.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Riikka Miettinen / Ella Viitaniemi (toim.)",,SKS,,"1. p",2018,540,"Nidottu kuvakannella",Suomi,"Uutta vastaava",,,,20,,published,yes,1,,no,833185,instock,simple,yes,Tietokirjallisuus->Historia,7,
"Tietokirjallisuus->Lappi ja pohjoiset alueet","Lappi ja pohjoiset alueet","Kolttain mailta",,"Kolttain mailta.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Samuli Paulaharju",,SKS,,"2. p",2010,231+kartta,"Sidottu kuvakannella",Suomi,"Uutta vastaava",,,,20,,published,yes,1,,no,833186,instock,simple,yes,"Tietokirjallisuus->Lappi ja pohjoiset alueet",7,
"Tietokirjallisuus->Lappi ja pohjoiset alueet","Lappi ja pohjoiset alueet",Taka-Lappia,,takalappia.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Samuli Paulaharju",,SKS,,"3. p",2010,389+kartta,"Sidottu kuvakannella",Suomi,"Uutta vastaava",,,,20,,published,yes,1,,no,833187,instock,simple,yes,"Tietokirjallisuus->Lappi ja pohjoiset alueet",7,
