id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
1605787781648_207811,"Japanilainen puutarha - Inspiraatiosta toteutukseen","Japanilainen puutarha - Inspiraatiosta toteutukseen",https://res.cloudinary.com/dolyfnals/images/v1605787799/qibgptmotns1ksarzrf7_207810a06e5/qibgptmotns1ksarzrf7_207810a06e5.jpg,https://kirjapino.fi/product/japanilainen-puutarha-inspiraatiosta-toteutukseen/,"Puutarha, huonekasvit","kirjapino.fi",18EUR,in stock,1605787781648_207811,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18EUR,new,published,,,,,,,
1605787454321_207809,"Pimeyden ruhtinaat","Pimeyden ruhtinaat",https://res.cloudinary.com/dolyfnals/images/v1605787465/p7rgykyhqtrqjhqot0mi_207808621b6/p7rgykyhqtrqjhqot0mi_207808621b6.jpg,https://kirjapino.fi/product/pimeyden-ruhtinaat-2/,"Ilmailu","kirjapino.fi",33EUR,in stock,1605787454321_207809,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,33EUR,new,published,,,,,,,
1605787213702_207807,"Sarjakuva - näkymätön taide","Sarjakuva - näkymätön taide",https://res.cloudinary.com/dolyfnals/images/v1605787249/hbkuqr9d8bd4zby2ujyj_2078060a9e0/hbkuqr9d8bd4zby2ujyj_2078060a9e0.jpg,https://kirjapino.fi/product/sarjakuva-nakymaton-taide/,"Sarjakuva-albumit","kirjapino.fi",20EUR,in stock,1605787213702_207807,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
1605786990628_207805,"Vaakuna- ja suurmieslasien kulttuurihistoria","Vaakuna- ja suurmieslasien kulttuurihistoria",https://res.cloudinary.com/dolyfnals/images/v1605787007/xx8h89roe6jtlqhtxo8k_20780429dcb/xx8h89roe6jtlqhtxo8k_20780429dcb.jpg,https://kirjapino.fi/product/vaakuna-ja-suurmieslasien-kulttuurihistoria/,"Taide, arkkitehtuuri, muotoilu, sisustus","kirjapino.fi",35EUR,in stock,1605786990628_207805,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,35EUR,new,published,,,,,,,
1605786413231_207803,"Kohtaaminen heräämiselämyksenä - Ylösnousemusvoimat ihmiskohtaamisessa","Kohtaaminen heräämiselämyksenä - Ylösnousemusvoimat ihmiskohtaamisessa",https://res.cloudinary.com/dolyfnals/images/v1605786423/qjfp98uywc9ett8c7ynh_207802327eb/qjfp98uywc9ett8c7ynh_207802327eb.jpg,https://kirjapino.fi/product/kohtaaminen-heraamiselamyksena-ylosnousemusvoimat-ihmiskohtaamisessa/,"Rajatieto","kirjapino.fi",17EUR,in stock,1605786413231_207803,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17EUR,new,published,,,,,,,
1605786319087_207801,"Tuhkapensas ja krysanteemi - Su Tung-p'on runoutta","Tuhkapensas ja krysanteemi - Su Tung-p'on runoutta",https://res.cloudinary.com/dolyfnals/images/v1605786348/itrjhx47a3gpbcusa1dl_207800d40c9/itrjhx47a3gpbcusa1dl_207800d40c9.jpg,https://kirjapino.fi/product/tuhkapensas-ja-krysanteemi-su-tung-pon-runoutta/,"Runot","kirjapino.fi",25EUR,in stock,1605786319087_207801,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,25EUR,new,published,,,,,,,
1605786086470_207799,"The Railway - An Adventure in Construction","The Railway - An Adventure in Construction",https://res.cloudinary.com/dolyfnals/images/v1605786108/k4c3s7k5mpfup4o6giqe_2077981f881/k4c3s7k5mpfup4o6giqe_2077981f881.jpg,https://kirjapino.fi/product/the-railway-an-adventure-in-construction/,"Yhteiskunta, laki, politiikka","kirjapino.fi",20EUR,in stock,1605786086470_207799,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
1605786007798_207797,"Coiled Verbal Spring - Devices of Lenin's Language","Coiled Verbal Spring - Devices of Lenin's Language",https://res.cloudinary.com/dolyfnals/images/v1605786024/kg4kzajffsyrrewxlcjo_2077965b396/kg4kzajffsyrrewxlcjo_2077965b396.jpg,https://kirjapino.fi/product/coiled-verbal-spring-devices-of-lenins-language/,"Filosofia","kirjapino.fi",22EUR,in stock,1605786007798_207797,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,22EUR,new,published,,,,,,,
1605785799033_207795,"Journey to the Land of Movies","Journey to the Land of Movies",https://res.cloudinary.com/dolyfnals/images/v1605785810/qt7glqmnjdu5wowqcd7t_2077940efa5/qt7glqmnjdu5wowqcd7t_2077940efa5.jpg,https://kirjapino.fi/product/journey-to-the-land-of-movies/,"Lastenkirjat, sadut","kirjapino.fi",20EUR,in stock,1605785799033_207795,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
1605785685974_207793,"Marx in the Woods","Marx in the Woods",https://res.cloudinary.com/dolyfnals/images/v1605785696/fdxpxom2aqsygdfmkyig_207792f0072/fdxpxom2aqsygdfmkyig_207792f0072.jpg,https://kirjapino.fi/product/marx-in-the-woods/,"Filosofia","kirjapino.fi",20EUR,in stock,1605785685974_207793,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
