id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
1613748297824_221896,"Laiton matkaaja - Paperittomuus ja rajojen valta","Laiton matkaaja - Paperittomuus ja rajojen valta",https://res.cloudinary.com/dolyfnals/images/v1613748321/f0xirfsbgkzbvote6uts_221895203d0/f0xirfsbgkzbvote6uts_221895203d0.jpg,https://kirjapino.fi/product/laiton-matkaaja-paperittomuus-ja-rajojen-valta/,"Yhteiskunta, laki, politiikka","kirjapino.fi",13EUR,in stock,1613748297824_221896,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,13EUR,new,published,,,,,,,
1613747560849_221894,"Myyntipsykologia - Näin meille myydään","Myyntipsykologia - Näin meille myydään",https://res.cloudinary.com/dolyfnals/images/v1613747575/eyqxqcianvi4ki0sid3p_2218939f973/eyqxqcianvi4ki0sid3p_2218939f973.jpg,https://kirjapino.fi/product/myyntipsykologia-nain-meille-myydaan/,"Psykologia, kasvatus, elämäntaito","kirjapino.fi",12EUR,in stock,1613747560849_221894,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12EUR,new,published,,,,,,,
1613747432164_221892,"Eripuraa ja arvovaltaa - Mannerheimin ja kenraalien henkilösuhteet ja johtaminen - Mannerheimin eripuran täydennetty juhlapainos!","Eripuraa ja arvovaltaa - Mannerheimin ja kenraalien henkilösuhteet ja johtaminen - Mannerheimin eripuran täydennetty juhlapainos!",https://res.cloudinary.com/dolyfnals/images/v1613747449/r5szpklxgdi2kb2m09ke_221891b5192/r5szpklxgdi2kb2m09ke_221891b5192.jpg,https://kirjapino.fi/product/eripuraa-ja-arvovaltaa-mannerheimin-ja-kenraalien-henkilosuhteet-ja-johtaminen-mannerheimin-eripuran-taydennetty-juhlapainos/,"Sotahistoria","kirjapino.fi",15EUR,in stock,1613747432164_221892,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1613747186425_221890,"Toivon ja pelon utopiat","Toivon ja pelon utopiat",https://res.cloudinary.com/dolyfnals/images/v1613747208/g2nqytwp4nodwflekfmo_2218891128c/g2nqytwp4nodwflekfmo_2218891128c.jpg,https://kirjapino.fi/product/toivon-ja-pelon-utopiat-2/,"Filosofia","kirjapino.fi",12EUR,in stock,1613747186425_221890,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12EUR,new,published,,,,,,,
1613746886158_221888,"Salainen ase - Kenttäkaskuja","Salainen ase - Kenttäkaskuja",https://res.cloudinary.com/dolyfnals/images/v1613746909/y4xqj0e8lqit1eydo0gt_221887596ad/y4xqj0e8lqit1eydo0gt_221887596ad.jpg,https://kirjapino.fi/product/salainen-ase-kenttakaskuja-2/,"Sotahistoria","kirjapino.fi",15EUR,in stock,1613746886158_221888,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1613746701589_221886,"Punkshui - Kodinsisustusta anarkisteille","Punkshui - Kodinsisustusta anarkisteille",https://res.cloudinary.com/dolyfnals/images/v1613746712/mkjp6dqpn7qnlujztugk_22188534764/mkjp6dqpn7qnlujztugk_22188534764.jpg,https://kirjapino.fi/product/punkshui-kodinsisustusta-anarkisteille/,"Psykologia, kasvatus, elämäntaito","kirjapino.fi",15EUR,in stock,1613746701589_221886,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1613746625404_221884,"Piru parka - Pessimistin aforismit","Piru parka - Pessimistin aforismit",https://res.cloudinary.com/dolyfnals/images/v1613746646/ecahebvsh8w6bgtgcgs5_2218836a9a1/ecahebvsh8w6bgtgcgs5_2218836a9a1.jpg,https://kirjapino.fi/product/piru-parka-pessimistin-aforismit/,"Filosofia","kirjapino.fi",15EUR,in stock,1613746625404_221884,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1613742332143_221882,"Tytöt - Suomalaisen tasa-arvon perusteet","Tytöt - Suomalaisen tasa-arvon perusteet",https://res.cloudinary.com/dolyfnals/images/v1613742347/enfxeevgrwqaj1vxwoci_22188141932/enfxeevgrwqaj1vxwoci_22188141932.jpg,https://kirjapino.fi/product/tytot-suomalaisen-tasa-arvon-perusteet-2/,"Yhteiskunta, laki, politiikka","kirjapino.fi",15EUR,in stock,1613742332143_221882,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1613740877866_221878,"Toisin tehty - Keskusteluja koulusta","Toisin tehty - Keskusteluja koulusta",https://res.cloudinary.com/dolyfnals/images/v1613740887/ocdc4q8tgh0pqjrm8txb_221877083e1/ocdc4q8tgh0pqjrm8txb_221877083e1.jpg,https://kirjapino.fi/product/toisin-tehty-keskusteluja-koulusta/,"Yhteiskunta, laki, politiikka","kirjapino.fi",18EUR,in stock,1613740877866_221878,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18EUR,new,published,,,,,,,
1613739667412_221876,"Suostumus","Suostumus",https://res.cloudinary.com/dolyfnals/images/v1613739680/ls40lbsiba2fqou9ex5v_22187571d2c/ls40lbsiba2fqou9ex5v_22187571d2c.jpg,https://kirjapino.fi/product/suostumus/,"Elämäkerrat, muistelmat, henkilöhistoria","kirjapino.fi",20EUR,in stock,1613739667412_221876,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
