id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
1616576324604_226032,"Kevättervehdys 1919 - Sosialidemokraattisen Puolueen julkaisu 1919","Kevättervehdys 1919 - Sosialidemokraattisen Puolueen julkaisu 1919",https://res.cloudinary.com/dolyfnals/images/v1/kqcylaqheyo6ky83yznu/kqcylaqheyo6ky83yznu.jpg,https://kirjapino.fi/product/kevattervehdys-1919-sosialidemokraattisen-puolueen-julkaisu-1919/,"Yhteiskunta, laki, politiikka","kirjapino.fi",20EUR,in stock,1616576324604_226032,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
1616576131207_226030,"Kevättervehdys 1921 - sos.dem. puolueen julkaisu","Kevättervehdys 1921 - sos.dem. puolueen julkaisu",https://res.cloudinary.com/dolyfnals/images/v1/qeplpmxikxwsvzabr9yh/qeplpmxikxwsvzabr9yh.jpg,https://kirjapino.fi/product/kevattervehdys-1921-sos-dem-puolueen-julkaisu/,"Yhteiskunta, laki, politiikka","kirjapino.fi",20EUR,in stock,1616576131207_226030,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
1616575878764_226028,"Punanen viesti 1921 - Sos.-dem. Kevätjulkaisu 1921","Punanen viesti 1921 - Sos.-dem. Kevätjulkaisu 1921",https://res.cloudinary.com/dolyfnals/images/v1/jktfzhvkyubcwibix6dy/jktfzhvkyubcwibix6dy.jpg,https://kirjapino.fi/product/punanen-viesti-1921-sos-dem-kevatjulkaisu-1921/,"Yhteiskunta, laki, politiikka","kirjapino.fi",20EUR,in stock,1616575878764_226028,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
1616575772219_226026,"Työn juhla XVII 1928","Työn juhla XVII 1928",https://res.cloudinary.com/dolyfnals/images/v1/tscakyixp2jnmwdzkf0i/tscakyixp2jnmwdzkf0i.jpg,https://kirjapino.fi/product/tyon-juhla-xvii-1928/,"Yhteiskunta, laki, politiikka","kirjapino.fi",18EUR,in stock,1616575772219_226026,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18EUR,new,published,,,,,,,
1616513287081_226021,"Vapaussodan Päämajan merkki","Ruuvikiinnitys",https://res.cloudinary.com/dolyfnals/images/v1/r8yziwdzcf8xylqef1ij/r8yziwdzcf8xylqef1ij.jpg,https://kirjapino.fi/product/vapaussodan-paamajan-merkki/,"Varia, Sekalainen","kirjapino.fi",4000EUR,in stock,1616513287081_226021,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4000EUR,new,published,,,,,,,
1616513197505_226019,"Osasto Sisun merkki 1940","Talvisodassa ulkomaalaisista vapaaehtoisista kootun Osasto Sisun merkki. Valmistaja Velj. Sundqvist",https://res.cloudinary.com/dolyfnals/images/v1/xutam45g4zlouict20hy/xutam45g4zlouict20hy.jpg,https://kirjapino.fi/product/osasto-sisun-merkki-1940/,"Varia, Sekalainen","kirjapino.fi",2500EUR,in stock,1616513197505_226019,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2500EUR,new,published,,,,,,,
1616513093399_226017,"Viron Vapaudenristin 1.luokan 3.aste","Viron Vapaudenristin 1.luokan 3.aste",https://res.cloudinary.com/dolyfnals/images/v1/t8quaivnmuxudgfgdvae/t8quaivnmuxudgfgdvae.jpg,https://kirjapino.fi/product/viron-vapaudenristin-1-luokan-3-aste/,"Varia, Sekalainen","kirjapino.fi",1500EUR,in stock,1616513093399_226017,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1500EUR,new,published,,,,,,,
1616513024076_226015,"Pohjoisrintama 1941-43 merkki musta pohja","Pohjoisrintama 1941-43 merkki musta pohja",https://res.cloudinary.com/dolyfnals/images/v1/sgubj34ep0ehb5liyo7f/sgubj34ep0ehb5liyo7f.jpg,https://kirjapino.fi/product/pohjoisrintama-1941-43-merkki-musta-pohja/,"Varia, Sekalainen","kirjapino.fi",350EUR,in stock,1616513024076_226015,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,350EUR,new,published,,,,,,,
1616512995653_226013,"Pohjoisrintama 1941-43 merkki valkoinen pohja","Pohjoisrintama 1941-43 merkki valkoinen pohja",https://res.cloudinary.com/dolyfnals/images/v1/l9n7wsxuvvdmsvqx5mt5/l9n7wsxuvvdmsvqx5mt5.jpg,https://kirjapino.fi/product/pohjoisrintama-1941-43-merkki-valkoinen-pohja/,"Varia, Sekalainen","kirjapino.fi",350EUR,in stock,1616512995653_226013,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,350EUR,new,published,,,,,,,
1616512919733_226011,"Patterinmäen risti soljella + miniatyyri","Ison ristin taustalla päivämääräkaiverrus 24.-28.4.1918",https://res.cloudinary.com/dolyfnals/images/v1/rfx5s0cmfuvcpiiogdi4/rfx5s0cmfuvcpiiogdi4.jpg,https://kirjapino.fi/product/patterinmaen-risti-soljella-miniatyyri/,"Varia, Sekalainen","kirjapino.fi",2000EUR,in stock,1616512919733_226011,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2000EUR,new,published,,,,,,,
1616512841504_226009,"Kuopion valtauksen merkki","Kuopion valtauksen merkki",https://res.cloudinary.com/dolyfnals/images/v1/hqtchozr9bis6umsegbg/hqtchozr9bis6umsegbg.jpg,https://kirjapino.fi/product/kuopion-valtauksen-merkki/,"Varia, Sekalainen","kirjapino.fi",1000EUR,in stock,1616512841504_226009,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1000EUR,new,published,,,,,,,
1616512770249_226007,"Karjalan rintaman merkki + mini","Hopeinen ja numeroitu Karjalan Armeijakunnan merkki + neulakiinnitteinen miniatyyri",https://res.cloudinary.com/dolyfnals/images/v1/mutiuhk4b0puyst948gk/mutiuhk4b0puyst948gk.jpg,https://kirjapino.fi/product/karjalan-rintaman-merkki-mini/,"Varia, Sekalainen","kirjapino.fi",700EUR,in stock,1616512770249_226007,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,700EUR,new,published,,,,,,,
1616512669944_226005,"Raudun risti 1918 + miniatyyri","Valmistaja MA Aalto",https://res.cloudinary.com/dolyfnals/images/v1/rc3up8gmypyqgvbkjsvx/rc3up8gmypyqgvbkjsvx.jpg,https://kirjapino.fi/product/raudun-risti-1918-miniatyyri/,"Varia, Sekalainen","kirjapino.fi",700EUR,in stock,1616512669944_226005,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,700EUR,new,published,,,,,,,
1616512540933_226003,"Punakaartin tulivuorimerkki","Punakaartin tulivuorimerkki",https://res.cloudinary.com/dolyfnals/images/v1/uisehuxynplumtaobd2c/uisehuxynplumtaobd2c.jpg,https://kirjapino.fi/product/punakaartin-tulivuorimerkki/,"Varia, Sekalainen","kirjapino.fi",250EUR,in stock,1616512540933_226003,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,250EUR,new,published,,,,,,,
1616512419973_226000,"Inkerin vapausliikkeen osanottomerkki","Numeroitu, kiinnityspiikit ehjät",https://res.cloudinary.com/dolyfnals/images/v1/fgfgxxhrhf6wd9mhstuv/fgfgxxhrhf6wd9mhstuv.jpg,https://kirjapino.fi/product/inkerin-vapausliikkeen-osanottomerkki/,"Varia, Sekalainen","kirjapino.fi",450EUR,in stock,1616512419973_226000,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,450EUR,new,published,,,,,,,
1616512326591_225998,"Jääkärien omaisten merkki","Jääkärien omaisten merkki",https://res.cloudinary.com/dolyfnals/images/v1/srienpy4hyuszwt2bamj/srienpy4hyuszwt2bamj.jpg,https://kirjapino.fi/product/jaakarien-omaisten-merkki/,"Varia, Sekalainen","kirjapino.fi",250EUR,in stock,1616512326591_225998,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,250EUR,new,published,,,,,,,
1616512092797_225996,"Elias Simojoki Legenda jo eläessään","Elias Simojoki Legenda jo eläessään",https://res.cloudinary.com/dolyfnals/images/v1/okc3lwrg3yzageoukgio/okc3lwrg3yzageoukgio.jpg,https://kirjapino.fi/product/elias-simojoki-legenda-jo-elaessaan-3/,"Elämäkerrat, muistelmat, henkilöhistoria","kirjapino.fi",13EUR,in stock,1616512092797_225996,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,13EUR,new,published,,,,,,,
1616511996836_225994,"Takaisin Viipuriin","Takaisin Viipuriin",https://res.cloudinary.com/dolyfnals/images/v1/cqasz96vkahkqxmihjle/cqasz96vkahkqxmihjle.jpg,https://kirjapino.fi/product/takaisin-viipuriin/,"Karjala","kirjapino.fi",15EUR,in stock,1616511996836_225994,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1616511925680_225992,"Taivas+helvetti","Taivas+helvetti",https://res.cloudinary.com/dolyfnals/images/v1/gmbryfys4qbjqrhfaxn5/gmbryfys4qbjqrhfaxn5.jpg,https://kirjapino.fi/product/taivashelvetti-2/,"Psykologia, kasvatus, elämäntaito","kirjapino.fi",20EUR,in stock,1616511925680_225992,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
1616511829573_225990,"Sisarussuhteet kilpailua ja rakkautta","Sisarussuhteet kilpailua ja rakkautta",https://res.cloudinary.com/dolyfnals/images/v1/llfjmvbeqwkudffdrioz/llfjmvbeqwkudffdrioz.jpg,https://kirjapino.fi/product/sisarussuhteet-kilpailua-ja-rakkautta/,"Psykologia, kasvatus, elämäntaito","kirjapino.fi",13EUR,in stock,1616511829573_225990,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,13EUR,new,published,,,,,,,
1616511361681_225988,"Pajulinnun huuto","Pajulinnun huuto",https://res.cloudinary.com/dolyfnals/images/v1/x9p2wu4uzt6yowjubgh0/x9p2wu4uzt6yowjubgh0.jpg,https://kirjapino.fi/product/pajulinnun-huuto/,"Kaunokirjallisuus (kotim.)","kirjapino.fi",13EUR,in stock,1616511361681_225988,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,13EUR,new,published,,,,,,,
1616511312028_225986,"Rouva C","Rouva C",https://res.cloudinary.com/dolyfnals/images/v1/lditzdgpjjurxg5lxcxm/lditzdgpjjurxg5lxcxm.jpg,https://kirjapino.fi/product/rouva-c/,"Kaunokirjallisuus (kotim.)","kirjapino.fi",13EUR,in stock,1616511312028_225986,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,13EUR,new,published,,,,,,,
