id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
1611405099715_219579,"Sivullinen","Sivullinen",https://res.cloudinary.com/dolyfnals/images/v1611405108/ijskniidqbbu1racuyes_21957893c2c/ijskniidqbbu1racuyes_21957893c2c.jpg,https://kirjapino.fi/product/sivullinen/,"Kaunokirjallisuus (ulkom.)","kirjapino.fi",12EUR,in stock,1611405099715_219579,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12EUR,new,published,,,,,,,
1611405044296_219577,"Andalusian lauluja","Andalusian lauluja",https://res.cloudinary.com/dolyfnals/images/v1611405057/zqembw9l9fs3vdeacbre_219576a5082/zqembw9l9fs3vdeacbre_219576a5082.jpg,https://kirjapino.fi/product/andalucian-lauluja/,"Runot","kirjapino.fi",13EUR,in stock,1611405044296_219577,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,13EUR,new,published,,,,,,,
1611402437441_219575,"Runotarten lemmikki - Der Musensohn","Tyhjällä esilehdellä onnitteluja",https://res.cloudinary.com/dolyfnals/images/v1611402469/htpp0scjjttzeh6fnwwn_21957457975/htpp0scjjttzeh6fnwwn_21957457975.jpg,https://kirjapino.fi/product/runotarten-lemmikki-der-musensohn/,"Runot","kirjapino.fi",13EUR,in stock,1611402437441_219575,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,13EUR,new,published,,,,,,,
1611402299462_219573,"Hinnalla millä hyvänsä - Uusliberalismi ja globaali kuri","Hinnalla millä hyvänsä - Uusliberalismi ja globaali kuri",https://res.cloudinary.com/dolyfnals/images/v1611402321/tkr9lfwphagj3mfaxsb5_21957231773/tkr9lfwphagj3mfaxsb5_21957231773.jpg,https://kirjapino.fi/product/hinnalla-milla-hyvansa-uusliberalismi-ja-globaali-kuri/,"Yhteiskunta, laki, politiikka","kirjapino.fi",15EUR,in stock,1611402299462_219573,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1611401155558_219571,"Kartanot ja rusthollit Helsingin seudulla","Kartanot ja rusthollit Helsingin seudulla",https://res.cloudinary.com/dolyfnals/images/v1611401186/bmafhxtat2aozjrtp2fy_2195708c826/bmafhxtat2aozjrtp2fy_2195708c826.jpg,https://kirjapino.fi/product/kartanot-ja-rusthollit-helsingin-seudulla-2/,"Paikallishistoria","kirjapino.fi",45EUR,in stock,1611401155558_219571,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,45EUR,new,published,,,,,,,
1611400930434_219569,"Kaksi nuorta veronalaista","Kaksi nuorta veronalaista",https://res.cloudinary.com/dolyfnals/images/v1611400943/bqgcwbclf7p58fo2paal_219568cc69d/bqgcwbclf7p58fo2paal_219568cc69d.jpg,https://kirjapino.fi/product/kaksi-nuorta-veronalaista-2/,"Teatteri, näytelmät","kirjapino.fi",22EUR,in stock,1611400930434_219569,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,22EUR,new,published,,,,,,,
1611400846795_219567,"Kielletyt levyt - Sata vuotta musiikin sensuuria","Kielletyt levyt - Sata vuotta musiikin sensuuria",https://res.cloudinary.com/dolyfnals/images/v1611400858/qzyz6ermg4ufjjc7fdva_2195663ed71/qzyz6ermg4ufjjc7fdva_2195663ed71.jpg,https://kirjapino.fi/product/kielletyt-levyt-sata-vuotta-musiikin-sensuuria/,"Musiikki","kirjapino.fi",20EUR,in stock,1611400846795_219567,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
1611400678768_219565,"Healing - Bioenergia, meridiaanit, akupisteet","Healing - Bioenergia, meridiaanit, akupisteet",https://res.cloudinary.com/dolyfnals/images/v1611400701/apxismszw5ngzobwyqgt_21956435382/apxismszw5ngzobwyqgt_21956435382.jpg,https://kirjapino.fi/product/healing-bioenergia-meridiaanit-akupisteet-2/,"Rajatieto","kirjapino.fi",20EUR,in stock,1611400678768_219565,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20EUR,new,published,,,,,,,
1611400495977_219563,"Vanhanakin voi ajatella - Mielikuvista ja niiden voimasta","Vanhanakin voi ajatella - Mielikuvista ja niiden voimasta",https://res.cloudinary.com/dolyfnals/images/v1611400520/bsa7cozsq33rymwhnzdm_219562e8398/bsa7cozsq33rymwhnzdm_219562e8398.jpg,https://kirjapino.fi/product/vanhanakin-voi-ajatella-mielikuvista-ja-niiden-voimasta-2/,"Psykologia, kasvatus, elämäntaito","kirjapino.fi",15EUR,in stock,1611400495977_219563,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1611400379611_219561,"Muumit ja olemisen arvoitus","Muumit ja olemisen arvoitus",https://res.cloudinary.com/dolyfnals/images/v1611400401/g8zlto1cdoczgxzcgivy_219560e13f4/g8zlto1cdoczgxzcgivy_219560e13f4.jpg,https://kirjapino.fi/product/muumit-ja-olemisen-arvoitus-3/,"Filosofia","kirjapino.fi",17EUR,in stock,1611400379611_219561,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17EUR,new,published,,,,,,,
1611399381075_219556,"Muistojen koulutaulut","Muistojen koulutaulut",https://res.cloudinary.com/dolyfnals/images/v1611399711/gw5udfp6z0y4jlgdybxg_2195552db84/gw5udfp6z0y4jlgdybxg_2195552db84.jpg,https://kirjapino.fi/product/muistojen-koulutaulut-2/,"Taide, arkkitehtuuri, muotoilu, sisustus","kirjapino.fi",23EUR,in stock,1611399381075_219556,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,23EUR,new,published,,,,,,,
