id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_217754,"Catamaraner och andra flerskrovsbåtar","takakannessa jäämiä vanhasta hintalapusta",https://res.cloudinary.com/dolyfnals/images/v1612896611/1155_catamaraner_2018120141452/1155_catamaraner_2018120141452.jpg,https://dev1.kirjapino.fi/product/catamaraner-och-andra-flerskrovsbatar/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217754,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
wc_post_id_217755,"Hemslöjd - Den svenska hemslöjden fram till 1800-talets slut","Hemslöjd - Den svenska hemslöjden fram till 1800-talets slut",https://res.cloudinary.com/dolyfnals/images/v1612896613/1155_hem_2018120131456/1155_hem_2018120131456.jpg,https://dev1.kirjapino.fi/product/hemslojd-den-svenska-hemslojden-fram-till-1800-talets-slut/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217755,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
wc_post_id_217756,"Kiinalainen horoskooppi","Kiinalainen horoskooppi",https://res.cloudinary.com/dolyfnals/images/v1612896616/1155_Kiinalainen_horoskooppi_201811915422/1155_Kiinalainen_horoskooppi_201811915422.jpg,https://dev1.kirjapino.fi/product/kiinalainen-horoskooppi-3/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217756,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
wc_post_id_217759,"Suomalainen muoto = Form Finland = Form Finnland","Suomalainen muoto = Form Finland = Form Finnland",https://res.cloudinary.com/dolyfnals/images/v1612896617/1155_muoto_2018120132416/1155_muoto_2018120132416.jpg,https://dev1.kirjapino.fi/product/suomalainen-muoto-form-finland-form-finnland/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217759,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
wc_post_id_217760,"A la Mode - Muodin ja pukeutumisen sanakirja","A la Mode - Muodin ja pukeutumisen sanakirja",https://res.cloudinary.com/dolyfnals/images/v1612896619/1155_mode_20181201351/1155_mode_20181201351.jpg,https://dev1.kirjapino.fi/product/a-la-mode-muodin-ja-pukeutumisen-sanakirja-2/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217760,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
wc_post_id_217761,"Klaani","Hieman kulumaa ja likaa sekä vino selkä.",https://res.cloudinary.com/dolyfnals/images/v1612896607/1155_Klaani_2018119145648/1155_Klaani_2018119145648.jpg,https://dev1.kirjapino.fi/product/klaani/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217761,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
wc_post_id_217762,"Juhansonin matkat","Juhansonin matkat",https://res.cloudinary.com/dolyfnals/images/v1612896609/1155_Juhansonin_matkat_2018119145326/1155_Juhansonin_matkat_2018119145326.jpg,https://dev1.kirjapino.fi/product/juhansonin-matkat-2/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217762,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
wc_post_id_217746,"Nova et vetera - Studia in honorem Martti Parvio","Suomen kirkkohistoriallisen seuran toimituksia 105.",https://res.cloudinary.com/dolyfnals/images/v1612896623/1155_Nova_et_vetera_2018119155113/1155_Nova_et_vetera_2018119155113.jpg,https://dev1.kirjapino.fi/product/nova-et-vetera-studia-in-honorem-martti-parvio/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217746,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
wc_post_id_217749,"Corporate Religion -  Building a Strong Company Through Personality and Corporate Soul","Corporate Religion -  Building a Strong Company Through Personality and Corporate Soul",https://res.cloudinary.com/dolyfnals/images/v1612896625/1155_Corporate_religion_201811915921/1155_Corporate_religion_201811915921.jpg,https://dev1.kirjapino.fi/product/corporate-religion-building-a-strong-company-through-personality-and-corporate-soul/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217749,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
wc_post_id_217751,"Kalamiehen niksikirja","Kalamiehen niksikirja",https://res.cloudinary.com/dolyfnals/images/v1612896621/1155_Kalamiehen_niksikirja_20181191563/1155_Kalamiehen_niksikirja_20181191563.jpg,https://dev1.kirjapino.fi/product/kalamiehen-niksikirja-2/,"Uncategorized","kirjapino.fi",0EUR,in stock,wc_post_id_217751,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0EUR,new,published,,,,,,,
