id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
1612604685806_220386,"Operaatio Viimeinen mahdollisuus - Yhden miehen kutusmus saattaa natsirikolliset tuomiolle","Operaatio Viimeinen mahdollisuus - Yhden miehen kutusmus saattaa natsirikolliset tuomiolle",https://res.cloudinary.com/dolyfnals/images/v1612604699/l3yc6ey1ojda0l6b0mhj_2203851cc67/l3yc6ey1ojda0l6b0mhj_2203851cc67.jpg,https://kirjapino.fi/product/operaatio-viimeinen-mahdollisuus-yhden-miehen-kutusmus-saattaa-natsirikolliset-tuomiolle/,"Historia","kirjapino.fi",15EUR,in stock,1612604685806_220386,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1612604599394_220384,"Ylpeydestä","Ylpeydestä",https://res.cloudinary.com/dolyfnals/images/v1612604612/tbcjgrphlfr7hovd0q2g_220383c12e6/tbcjgrphlfr7hovd0q2g_220383c12e6.jpg,https://kirjapino.fi/product/ylpeydesta/,"Kaunokirjallisuus (kotim.)","kirjapino.fi",12EUR,in stock,1612604599394_220384,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12EUR,new,published,,,,,,,
1612604371610_220382,"Kulttuurimme koetuksella","Kulttuurimme koetuksella",https://res.cloudinary.com/dolyfnals/images/v1612604384/g48kje3vrd6y5rrs5k9y_2203818377e/g48kje3vrd6y5rrs5k9y_2203818377e.jpg,https://kirjapino.fi/product/kulttuurimme-koetuksella/,"Kulttuurihistoria ja -tutkimus","kirjapino.fi",12EUR,in stock,1612604371610_220382,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12EUR,new,published,,,,,,,
1612604204780_220380,"Lumottu maa - mennyt minussa","Lumottu maa - mennyt minussa",https://res.cloudinary.com/dolyfnals/images/v1612604219/hhssn9qzqo3pfhc6it2i_220379a9a6e/hhssn9qzqo3pfhc6it2i_220379a9a6e.jpg,https://kirjapino.fi/product/lumottu-maa-mennyt-minussa/,"Elämäkerrat, muistelmat, henkilöhistoria","kirjapino.fi",12EUR,in stock,1612604204780_220380,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12EUR,new,published,,,,,,,
1612602720437_220378,"Gondolinin tuho","Gondolinin tuho",https://res.cloudinary.com/dolyfnals/images/v1612602742/hw0m2tnozzjfhpmze6wq_220377525d2/hw0m2tnozzjfhpmze6wq_220377525d2.jpg,https://kirjapino.fi/product/gondolinin-tuho-2/,"Scifi, fantasia","kirjapino.fi",22EUR,in stock,1612602720437_220378,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,22EUR,new,published,,,,,,,
1612602631266_220376,"Kultainen vasikka - Järjestäytynyt rikollisuus Suomessa","Kultainen vasikka - Järjestäytynyt rikollisuus Suomessa",https://res.cloudinary.com/dolyfnals/images/v1612602645/u7vp19yyaooryevjtdw8_220374a55ec/u7vp19yyaooryevjtdw8_220374a55ec.jpg,https://kirjapino.fi/product/kultainen-vasikka-jarjestaytynyt-rikollisuus-suomessa/,"Yhteiskunta, laki, politiikka","kirjapino.fi",18EUR,in stock,1612602631266_220376,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18EUR,new,published,,,,,,,
1612602467107_220371,"Leiri - Tarinoita ihmisistä jotka haluavat kotiin","Leiri - Tarinoita ihmisistä jotka haluavat kotiin",https://res.cloudinary.com/dolyfnals/images/v1612602477/kk0hlqtpvkfuznfepceo_220370dfdb3/kk0hlqtpvkfuznfepceo_220370dfdb3.jpg,https://kirjapino.fi/product/leiri-tarinoita-ihmisista-jotka-haluavat-kotiin/,"Yhteiskunta, laki, politiikka","kirjapino.fi",13EUR,in stock,1612602467107_220371,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,13EUR,new,published,,,,,,,
1612602357832_220369,"Mitä Minna Canth todella sanoi?","Mitä Minna Canth todella sanoi?",https://res.cloudinary.com/dolyfnals/images/v1612602382/jwot1nuney4uvf3jneig_22036835421/jwot1nuney4uvf3jneig_22036835421.jpg,https://kirjapino.fi/product/mita-minna-canth-todella-sanoi/,"Yhteiskunta, laki, politiikka","kirjapino.fi",15EUR,in stock,1612602357832_220369,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15EUR,new,published,,,,,,,
1612602250503_220367,"Suomen poliittinen historia","Alleviivauksia ja merkintöjä",https://res.cloudinary.com/dolyfnals/images/v1612602263/hzwxaoz0hx4w1tgtupn9_22036686fb9/hzwxaoz0hx4w1tgtupn9_22036686fb9.jpg,https://kirjapino.fi/product/suomen-poliittinen-historia/,"Dekkarit (kotim.)","kirjapino.fi",17EUR,in stock,1612602250503_220367,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17EUR,new,published,,,,,,,
1612602179118_220365,"Menneisyyden vanki","Teijo Romppaisen omiste ja nimmari!",https://res.cloudinary.com/dolyfnals/images/v1612602200/ovfkyqduwq9xjnjza8nv_2203645f5f5/ovfkyqduwq9xjnjza8nv_2203645f5f5.jpg,https://kirjapino.fi/product/menneisyyden-vanki/,"Dekkarit (kotim.)","kirjapino.fi",18EUR,in stock,1612602179118_220365,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18EUR,new,published,,,,,,,
