id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
1609589414851_217726,"Sotamies Maanpuolustus tehtävänä ja kutsumuksena","Sotamies Maanpuolustus tehtävänä ja kutsumuksena",https://res.cloudinary.com/dolyfnals/images/v1609589397/pyjqbtvobvafn6moxp2d_21772588080/pyjqbtvobvafn6moxp2d_21772588080.jpg,https://dev1.kirjapino.fi/product/sotamies-maanpuolustus-tehtavana-ja-kutsumuksena/,"Sotahistoria","kirjapino.fi",17EUR,in stock,1609589414851_217726,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17EUR,new,published,,,,,,,
1609589356230_217724,"Sylvin matkassa Yksityiset päiväkirjat Kiinasta","Sylvin matkassa Yksityiset päiväkirjat Kiinasta",https://res.cloudinary.com/dolyfnals/images/v1609589337/tueysamf20ttpaj6v7zm_2177234784d/tueysamf20ttpaj6v7zm_2177234784d.jpg,https://dev1.kirjapino.fi/product/sylvin-matkassa-yksityiset-paivakirjat-kiinasta/,"Matkat","kirjapino.fi",17EUR,in stock,1609589356230_217724,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17EUR,new,published,,,,,,,
1609589137564_217722,"Säätiö Alfred Kordelinin yleinen edistys- ja sivistysrahasto 1920-2020","Säätiö Alfred Kordelinin yleinen edistys- ja sivistysrahasto 1920-2020",https://res.cloudinary.com/dolyfnals/images/v1609589121/rt4cpkdd0onz1te4olsr_21772174ea8/rt4cpkdd0onz1te4olsr_21772174ea8.jpg,https://dev1.kirjapino.fi/product/saatio-alfred-kordelinin-yleinen-edistys-ja-sivistysrahasto-1920-2020/,"Yritys- ja järjestöhistoriikit","kirjapino.fi",19EUR,in stock,1609589137564_217722,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,19EUR,new,published,,,,,,,
1609589058303_217720,"Linnut & ilmasto Matka muuttuvaan luontoon","Linnut & ilmasto Matka muuttuvaan luontoon",https://res.cloudinary.com/dolyfnals/images/v1609589037/omrfyukkciyct3rxq93o_2177192a8f6/omrfyukkciyct3rxq93o_2177192a8f6.jpg,https://dev1.kirjapino.fi/product/linnut-ilmasto-matka-muuttuvaan-luontoon/,"Luonto, lemmikit, biologia","kirjapino.fi",19EUR,in stock,1609589058303_217720,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,19EUR,new,published,,,,,,,
1609588936491_217718,"Vahvaksi rikotut Tarinoita seksuaaliväkivallasta Suomessa","Vahvaksi rikotut Tarinoita seksuaaliväkivallasta Suomessa",https://res.cloudinary.com/dolyfnals/images/v1609588922/brvunfrs7tyfdz1lwzhy_217717dcb5a/brvunfrs7tyfdz1lwzhy_217717dcb5a.jpg,https://dev1.kirjapino.fi/product/vahvaksi-rikotut-tarinoita-seksuaalivakivallasta-suomessa-2/,"Elämäkerrat, muistelmat, henkilöhistoria","kirjapino.fi",17EUR,in stock,1609588936491_217718,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17EUR,new,published,,,,,,,
1609588855966_217716,"Kullankaivajan tytär","Kullankaivajan tytär",https://res.cloudinary.com/dolyfnals/images/v1609588849/ps370m2hua252na4wfnb_217715022e0/ps370m2hua252na4wfnb_217715022e0.jpg,https://dev1.kirjapino.fi/product/kullankaivajan-tytar/,"Elämäkerrat, muistelmat, henkilöhistoria","kirjapino.fi",25EUR,in stock,1609588855966_217716,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,25EUR,new,published,,,,,,,
1609588784605_217714,"Haukivuoren Houdini Aimo Leikkaan elämä ja kuolema","Haukivuoren Houdini Aimo Leikkaan elämä ja kuolema",https://res.cloudinary.com/dolyfnals/images/v1609588763/kul0vjwmaehjhropjhgv_217713b44d9/kul0vjwmaehjhropjhgv_217713b44d9.jpg,https://dev1.kirjapino.fi/product/haukivuoren-houdini-aimo-leikkaan-elama-ja-kuolema-2/,"Elämäkerrat, muistelmat, henkilöhistoria","kirjapino.fi",17EUR,in stock,1609588784605_217714,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17EUR,new,published,,,,,,,
1609588626168_217712,"Lahjakkaat, sitkeät, kyvykkäät Suomalaisten naisten koulutuksen ja Konkordia-liiton historia","Lahjakkaat, sitkeät, kyvykkäät Suomalaisten naisten koulutuksen ja Konkordia-liiton historia",https://res.cloudinary.com/dolyfnals/images/v1609588608/qblsnl5hugla9eyamxws_217711ed8d3/qblsnl5hugla9eyamxws_217711ed8d3.jpg,https://dev1.kirjapino.fi/product/lahjakkaat-sitkeat-kyvykkaat-suomalaisten-naisten-koulutuksen-ja-konkordia-liiton-historia-2/,"Yritys- ja järjestöhistoriikit","kirjapino.fi",17EUR,in stock,1609588626168_217712,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17EUR,new,published,,,,,,,
1609588478008_217710,"Edelläkävijät Neljän suurkauppiassuvun tarina modernisoituivassa Suomessa","Edelläkävijät Neljän suurkauppiassuvun tarina modernisoituivassa Suomessa",https://res.cloudinary.com/dolyfnals/images/v1609588464/fnt2alz0p4ldh54xykvr_21770993667/fnt2alz0p4ldh54xykvr_21770993667.jpg,https://dev1.kirjapino.fi/product/edellakavijat-neljan-suurkauppiassuvun-tarina-modernisoituivassa-suomessa/,"Elämäkerrat, muistelmat, henkilöhistoria","kirjapino.fi",23EUR,in stock,1609588478008_217710,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,23EUR,new,published,,,,,,,
1609588385946_217708,"Parempi ihminen parempi maailma Suomalaisen työväenteatterin päättymätön tarina","Parempi ihminen parempi maailma Suomalaisen työväenteatterin päättymätön tarina",https://res.cloudinary.com/dolyfnals/images/v1609588368/jxr2vyi1n6rfuzjqjrzh_217707b8d35/jxr2vyi1n6rfuzjqjrzh_217707b8d35.jpg,https://dev1.kirjapino.fi/product/parempi-ihminen-parempi-maailma-suomalaisen-tyovaenteatterin-paattymaton-tarina/,"Teatteri, näytelmät","kirjapino.fi",23EUR,in stock,1609588385946_217708,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,23EUR,new,published,,,,,,,
